,Bremerhaven,Rostock-Warnemuende,Hamburg-Fuhlsbuettel,Postdam,Essen,Bad Marienberg,Kassel,Braunlage,Chemnitz,Hof,Fichtelberg,Mannheim,Muehldorf/Inn,Stotten,Garmisch-Partenkirchen
2011-12-17 10:00:00,277.77555340901125,277.4152826629332,277.0917337284388,276.97263596114027,276.90812467052024,274.64228964766556,275.3161845142965,273.8979286020497,274.03489103444304,274.2492670155804,272.4369959898543,277.1095983935336,275.18716193305636,272.4915824665328,270.78252950579883
2011-12-17 11:00:00,278.29561365954817,277.46788417682336,277.6217187929173,277.37558340716697,277.7745609276171,275.04126716811567,275.4581093536606,273.93465041363345,274.28797378995245,274.64526709184804,272.44989824797835,277.7199744509386,275.3876431746756,272.75855996156037,271.0772964798627
2011-12-17 12:00:00,278.782922024078,277.510560876772,277.9641248739006,277.6733278254133,278.57549341269976,275.30030481199,275.6188913395136,273.8542594207069,274.3683647828789,274.78619944981796,272.5948005315249,278.0792527156225,275.61293645114864,272.70992837324684,271.13783784490613
2011-12-17 13:00:00,278.6896287730275,277.63561353243546,278.41272646405844,277.6981398602672,278.7501701380709,275.6972973696518,276.11215459240833,274.162921134289,274.57281595007476,274.7663498219349,272.7426802592539,278.36806480132145,275.66256052085635,272.8736878032823,271.37007849113826
2011-12-17 14:00:00,278.71543328927555,277.6256887184939,278.255914403782,277.6217187929173,278.73925284273525,275.62782367206097,276.4902900035812,274.95392880543005,274.05871058790274,274.3147707875946,272.7932968103558,277.9591624669298,275.9950417878981,273.0612667867775,271.3869506748389
2011-12-17 15:00:00,277.87480154842666,277.523463134896,277.8628917716968,277.4172676257215,278.2360647758989,275.23182359579334,276.5409065546831,275.1186807168597,273.85128197652443,274.07558277160337,272.45486065494913,277.632636088253,275.6873725557102,272.9630111287562,270.23964218319634
2011-12-17 16:00:00,277.4758240279766,277.549267651144,277.6961548974789,277.11555328189854,277.53636539302,274.6998535685265,276.13398918307973,275.00454535653193,273.72523683946685,274.1351316552526,272.47570276422636,277.20189916319,275.63377856042587,272.97690586827434,270.00640905557003
2011-12-17 17:00:00,277.12547809584004,277.7656285950697,277.3190119677002,277.05104199127845,276.8188013450463,274.3951617805211,276.0883350389486,274.7792520800589,273.65477066048186,274.0140489251658,272.54517646181716,276.6133576964564,275.3618386584276,272.61564264080215,270.26048429247356
2011-12-17 18:00:00,277.01928258666555,277.9800045762071,277.1751021655478,276.9666810727754,276.2788914666263,274.4686054036885,275.79654550906724,274.7435227498693,273.91182334156787,273.7043947301896,272.6364847500794,276.2421696550426,275.4134476909236,272.5818982734009,269.48039391666816
2011-12-17 19:00:00,277.00538784714735,277.9293880251052,277.0659292121908,277.0311923633954,275.8908312415119,274.3475226736017,275.75188384633026,274.57777835704553,273.6934774348539,273.6150714047157,272.22262000871694,275.8809064275704,275.4045153583762,272.4727253200439,269.8942586580306
2011-12-17 20:00:00,277.00340288435905,277.82120755314236,276.5845757360259,277.04806454709603,275.84517709738077,274.2234624993324,275.4074928025587,274.5301392501261,273.80165790681673,273.8780789741666,272.31194333419086,275.6178988581194,275.39756798861714,272.7218381499767,268.96430359170785
2011-12-17 21:00:00,277.0679141749791,277.6693578998367,276.38806441998327,276.95477129604546,275.6953124068635,273.98824440891775,275.33206421660293,274.55395880358583,273.6498082535111,274.09741736227477,272.19880045525724,275.4114627281353,275.30625970035493,272.4856275781679,267.57780708407404
2011-12-17 22:00:00,276.02977863669355,277.70111730444967,276.2481245434075,276.6758840242881,275.85013950435155,273.617056367504,274.99859046816704,274.2542294225512,273.48803378626394,273.6954623976422,272.3923343271174,275.6427108929733,275.0551619076338,271.0802739240452,266.2210850182649
2011-12-17 23:00:00,275.72806429287056,277.63759849522376,275.8471620601691,276.7314629823607,275.8352522834393,273.4284849026146,275.0541694262397,274.17681587380713,273.5952217768326,273.63789847678123,272.47371780143806,275.6635530022505,274.90331225432817,270.7666498034924,265.3883931285693
2011-12-18 00:00:00,275.6834026301336,277.2971773770288,275.3479439189094,276.8922449682138,275.58018456514156,273.41558264449066,275.0472220564806,274.05672562511444,273.642860883752,273.43543227237376,272.2990410760669,275.7618086602718,274.7246656033804,270.47287531082264,265.07973141498724
2011-12-18 01:00:00,275.762801141666,277.02622995642463,275.19410930281543,276.778109607886,275.5305604954338,273.4255074584322,274.7097783824681,273.85822934628357,273.6259887000514,272.92926676135494,272.17101097622094,275.4541394280839,274.5380791012794,270.21979255531323,264.4286636204219
2011-12-18 02:00:00,276.097267371496,276.9666810727754,275.3439739933328,276.5488464058363,275.4749815373612,273.5039134885704,274.74253026847515,273.8026503882109,273.33419917017,272.61365767801385,271.9000635556168,274.90231977293405,274.53113173152025,268.77176220124187,262.29482862298977
2011-12-18 03:00:00,275.8729665764171,276.89026000542543,275.5523950861052,276.29477116893275,275.2923649608368,273.212123958689,274.7435227498693,273.5972067396209,273.2597630656084,272.2027703808339,271.48619881425435,274.5638836175274,274.458680589747,268.41744634352875,261.7440014492341
2011-12-18 04:00:00,275.82830491368014,276.752305091638,275.6466808185499,276.12902677610896,274.78520696842384,273.30045480276874,274.56686106170986,273.58430448149693,273.0701991193249,272.1581087180969,271.1695972495191,274.5152520292138,274.3068309364414,269.113175800831,262.77518961776053
2011-12-18 05:00:00,275.9672523088618,276.6351922871278,275.3846657304931,276.01191397159874,274.3266805643245,273.289537507433,274.4179888525867,273.51383830251194,272.99080060779255,272.248424524965,271.027672410155,274.73657538011025,274.2323948318798,268.96132614752537,263.49275366573426
2011-12-18 06:00:00,276.0000041948689,276.4654779687273,275.3717634723691,275.8362447648334,273.9713722252171,273.09004874720796,274.0865000669391,273.4165751258848,273.04935701004763,272.5789208292184,271.1686047681249,274.75642500799336,273.86716167883094,268.8104689756139,263.5999416563029
2011-12-18 07:00:00,275.89877109266513,276.1865906969699,275.4104702467411,275.8560943927165,273.848304532342,272.871702840494,273.84036468118876,273.3838232398777,273.06523671235414,272.8895675055888,271.3522138260435,274.5301392501261,273.32129691204597,268.8323035662853,263.8818063722428
2011-12-18 08:00:00,275.6268311906668,276.0625305227006,275.5037634977917,275.85013950435155,274.1291767668877,272.6057178268606,273.79868046263425,273.1763946284994,273.25380817724346,272.814138919633,271.5487251420861,274.52120691757875,273.6130864419274,269.3950405167709,264.7075508921793
2011-12-18 09:00:00,275.66057555806805,276.0605455599123,275.4898687582735,276.0367260064526,274.66015431276037,272.6285448989261,273.82051505330566,273.1208156704268,273.6974473604305,272.85780810097583,271.95266506950696,274.7574174893875,274.49639488272487,270.5979279664861,266.3362128599868
2011-12-18 10:00:00,276.4773877454572,276.0734478180363,275.98114704837997,276.16674106908687,275.43825972577747,273.07119160071903,274.1510113575591,273.3351916515641,273.9475526717574,273.08905626581384,272.2375072296293,275.35389880727433,274.83681600091984,271.1646348425483,268.87200282205146
2011-12-18 11:00:00,276.9865307006584,276.15780873653944,276.3305004991223,276.6212975476096,276.2163651387946,273.33022924459334,274.52716180594365,273.5704097419787,273.8572368648894,273.2210562912364,272.24445459938835,275.4025303955879,274.79116185678873,271.7164544976982,269.8049353325567
2011-12-18 12:00:00,277.3200044490943,276.2421696550426,276.4138689362313,276.69573365217116,276.8128464566814,273.8244849788823,274.863612998562,273.617056367504,273.77188346499213,273.15852996340465,272.2246049715053,275.3161845142965,275.32809429102633,272.1194019437249,270.513567047983
2011-12-18 13:00:00,277.510560876772,276.48135767103383,276.54388399886557,276.5637336267486,276.4406659338735,274.23735723885056,274.97576339610146,273.591251851256,273.71828946970777,273.077146489084,272.0400034321925,275.23777848415824,275.61492141393694,272.33179296207396,270.71404828960215
2011-12-18 14:00:00,276.5686960337194,276.73344794514907,276.7235231312075,276.4714328570923,276.0218387855403,274.02397373910736,275.0472220564806,273.5009360443879,273.3838232398777,272.97095097990945,271.88517633470445,275.5593424558643,275.8054778416146,272.1372666088197,270.6723640710477
2011-12-18 15:00:00,276.19254558533487,276.92102692864427,276.3940193083482,276.22033506437117,275.8253274694977,273.6279736628397,274.7594024521758,273.4761240095341,273.1267705587917,272.87468028467646,271.6926349442385,275.274500295742,275.1514326028668,271.0425596310673,269.710649600112
2011-12-18 16:00:00,275.8799139461762,277.0361547703662,275.77173347421336,276.24316213643675,275.21197396791024,273.2409059191195,274.4477632944113,273.23495103075453,273.1436427424923,272.80322162429735,271.6787402047203,274.71374830804467,274.542049026856,268.6258674363012,267.53612286551953
2011-12-18 17:00:00,275.49483116524425,276.8446058612943,275.4581093536606,276.0655079668831,274.4497482571996,273.4284849026146,274.18971813193116,273.2706803609441,273.1476126680689,272.71985318718833,271.62812365361845,274.29194371552904,274.0597030692969,268.07305529975713,266.902919736049
